Time Stamp, Oakland
Tue Jan 15 08:15:44 2013,         10
Tue Jan 15 08:16:06 2013,         10
Tue Jan 15 08:16:27 2013,         11
Tue Jan 15 08:16:49 2013,         11
Tue Jan 15 08:17:10 2013,         11
Tue Jan 15 08:17:32 2013,         11
Tue Jan 15 08:17:53 2013,         11
Tue Jan 15 08:18:15 2013,         13
Tue Jan 15 08:18:37 2013,         13
Tue Jan 15 08:18:58 2013,         13
Tue Jan 15 08:19:20 2013,         13
Tue Jan 15 08:19:41 2013,         13
Tue Jan 15 08:20:03 2013,         13
Tue Jan 15 08:20:24 2013,         14
Tue Jan 15 08:20:46 2013,         14
Tue Jan 15 08:21:08 2013,         14
Tue Jan 15 08:21:30 2013,         14
Tue Jan 15 08:21:51 2013,         14
Tue Jan 15 08:22:13 2013,         16
Tue Jan 15 08:22:35 2013,         16
Tue Jan 15 08:22:56 2013,         16
Tue Jan 15 08:23:18 2013,         16
Tue Jan 15 08:23:39 2013,         16
Tue Jan 15 08:24:01 2013,         16
Tue Jan 15 08:24:22 2013,         15
Tue Jan 15 08:24:44 2013,         15
Tue Jan 15 08:25:05 2013,         15
Tue Jan 15 08:25:27 2013,         15
Tue Jan 15 08:25:48 2013,         15
Tue Jan 15 08:26:10 2013,         15
Tue Jan 15 08:26:32 2013,         17
Tue Jan 15 08:26:53 2013,         17
Tue Jan 15 08:27:14 2013,         17
Tue Jan 15 08:27:36 2013,         17
Tue Jan 15 08:27:58 2013,         17
Tue Jan 15 08:28:20 2013,          5
Tue Jan 15 08:28:42 2013,          5
Tue Jan 15 08:29:03 2013,          5
Tue Jan 15 08:29:25 2013,          5
Tue Jan 15 08:29:46 2013,          5
Tue Jan 15 08:30:08 2013,          5
Tue Jan 15 08:30:29 2013,          4
Tue Jan 15 08:30:51 2013,          4
Tue Jan 15 08:31:12 2013,          4
Tue Jan 15 08:31:34 2013,          4
Tue Jan 15 08:31:55 2013,          4
Tue Jan 15 08:32:17 2013,          6
Tue Jan 15 08:32:38 2013,          6
Tue Jan 15 08:33:00 2013,          6
Tue Jan 15 08:33:21 2013,          6
Tue Jan 15 08:33:43 2013,          6
Tue Jan 15 08:34:05 2013,          6
Tue Jan 15 08:34:26 2013,          3
Tue Jan 15 08:34:48 2013,          3
Tue Jan 15 08:35:09 2013,          3
Tue Jan 15 08:35:31 2013,          3
Tue Jan 15 08:35:52 2013,          3
Tue Jan 15 08:36:14 2013,          5
Tue Jan 15 08:36:36 2013,          5
Tue Jan 15 08:36:58 2013,          5
Tue Jan 15 08:37:19 2013,          5
Tue Jan 15 08:37:41 2013,          5
Tue Jan 15 08:38:02 2013,          5
Tue Jan 15 08:38:24 2013,          7
